"home","away","margin","week","site","FBS","home_conf","away_conf","home_AP","away_AP"
"NIU","HC",2,1,1,0,"MAC",NA,NA,NA
"LIB","ME",21,1,1,0,"cUSA",NA,NA,NA
"ARK","AAMU",45,1,1,0,"SEC",NA,NA,NA
"MEM","UTC",35,1,1,0,"AMERICAN",NA,NA,NA
"IOWA","ALB",27,1,1,0,"BIG10",NA,NA,NA
"UVA","CCU",41,1,1,1,"ACC","SUNBELT",NA,NA
"JMU","WEB",35,1,1,0,"SUNBELT",NA,NA,NA
"VAN","CHSO",42,1,1,0,"SEC",NA,NA,NA
"MTSU","APSU",-20,1,1,1,"cUSA","SUNBELT",NA,NA
"WKU","UNA",49,1,1,0,"cUSA",NA,NA,NA
"ARST","SEMO",18,1,1,0,"SUNBELT",NA,NA,NA
"USA","MORG",17,1,1,0,"SUNBELT",NA,NA,NA
"TROY","NICH",18,1,1,0,"SUNBELT",NA,NA,NA
"USC","MOST",60,1,1,1,"BIG10","cUSA",NA,NA
"LT","SELA",24,1,1,0,"cUSA",NA,NA,NA
"USU","UTEP",12,1,1,1,"MTNWEST","cUSA",NA,NA
"BYU","PRST",69,1,1,0,"BIG12",NA,NA,NA
"UL","RICE",-2,1,1,1,"SUNBELT","AMERICAN",NA,NA
"TXST","EMU",25,1,1,1,"SUNBELT","MAC",NA,NA
"UNT","LAM",51,1,1,0,"AMERICAN",NA,NA,NA
"TLSA","ACU",28,1,1,0,"AMERICAN",NA,NA,NA
"NMSU","BRY",16,1,1,0,"cUSA",NA,NA,NA
"FRES","GASO",28,1,1,1,"MTNWEST","SUNBELT",NA,NA
"WSU","IDHO",3,1,1,0,"PAC12",NA,NA,NA
"ORST","CAL",-19,1,1,1,"PAC12","ACC",NA,NA
"ARIZ","HAW",34,1,1,1,"BIG12","MTNWEST",NA,NA
"UCLA","UTAH",-33,1,1,1,"BIG10","BIG12",NA,NA
"WASH","CSU",17,1,1,1,"BIG10","MTNWEST",NA,NA
"MIA","ND",3,1,1,1,"ACC","ind",10,6
"SC","VT",13,1,1,1,"SEC","ACC",13,NA
"UNC","TCU",-34,1,1,1,"ACC","BIG12",NA,NA
"LOU","JMU",14,2,1,1,"ACC","SUNBELT",NA,NA
"NU","WIU",35,2,1,0,"BIG10",NA,NA,NA
"MD","NIU",11,2,1,1,"BIG10","MAC",NA,NA
"BOIS","EWU",37,2,1,0,"MTNWEST",NA,NA,NA
"OSU","GRAM",70,2,1,0,"BIG10",NA,1,NA
"PSU","FIU",34,2,1,1,"BIG10","cUSA",2,NA
"LSU","LT",16,2,1,1,"SEC","cUSA",3,NA
"UGA","APSU",22,2,1,1,"SEC","SUNBELT",4,NA
"MIA","BCU",42,2,1,0,"ACC",NA,5,NA
"ORE","OKST",66,2,1,1,"BIG10","BIG12",6,NA
"TEX","SJSU",31,2,1,1,"SEC","MTNWEST",7,NA
"CLEM","TROY",11,2,1,1,"ACC","SUNBELT",8,NA
"SC","SCST",28,2,1,0,"SEC",NA,10,NA
"DUKE","ILL",-26,2,1,1,"ACC","BIG10",NA,11
"MSST","ASU",4,2,1,1,"SEC","BIG12",NA,12
"FLA","USF",-2,2,1,1,"SEC","AMERICAN",13,NA
"FSU","ETAM",74,2,1,0,"ACC",NA,14,NA
"OU","MICH",11,2,1,1,"SEC","BIG10",18,15
"ISU","IOWA",3,2,1,1,"BIG12","BIG10",16,NA
"SMU","BAY",-3,2,1,1,"ACC","BIG12",17,NA
"TA&M","USU",22,2,1,1,"SEC","MTNWEST",19,NA
"UK","MISS",-7,2,1,1,"SEC","SEC",NA,20
"ALA","ULM",73,2,1,1,"SEC","SUNBELT",21,NA
"TENN","ETSU",55,2,1,0,"SEC",NA,22,NA
"IU","KENN",47,2,1,1,"BIG10","cUSA",23,NA
"TTU","KENT",48,2,1,1,"BIG12","MAC",24,NA
"UTAH","CP",54,2,1,0,"BIG12",NA,25,NA
"MINN","NWST",66,2,1,0,"BIG10",NA,NA,NA
"NCSU","UVA",4,2,1,1,"ACC","ACC",NA,NA
"PITT","CMU",28,2,1,1,"ACC","MAC",NA,NA
"SYR","CONN",7,2,1,1,"ACC","ind",NA,NA
"JVST","LIB",10,2,1,1,"cUSA","cUSA",NA,NA
"TEM","HOW",48,2,1,0,"AMERICAN",NA,NA,NA
"UNM","IDST",10,2,1,0,"MTNWEST",NA,NA,NA
"MIZ","KU",11,2,1,1,"SEC","BIG12",NA,NA
"ORST","FRES",-9,2,1,1,"PAC12","MTNWEST",NA,NA
"GT","GWEB",47,2,1,0,"ACC",NA,NA,NA
"CIN","BGSU",14,2,1,1,"BIG12","MAC",NA,NA
"COLO","DEL",24,2,1,1,"BIG12","cUSA",NA,NA
"APP","LIN",7,2,1,0,NA,NA,NA,NA
"UTSA","TXST",-7,2,1,1,"AMERICAN","SUNBELT",NA,NA
"NAVY","UAB",14,2,1,1,"AMERICAN","AMERICAN",NA,NA
"WMU","UNT",-3,2,1,1,"MAC","AMERICAN",NA,NA
"BUFF","SFPA",39,2,1,0,"MAC",NA,NA,NA
"WIS","MTSU",32,2,1,1,"BIG10","cUSA",NA,NA
"OHIO","WVU",7,2,1,1,"MAC","BIG12",NA,NA
"WYO","UNI",24,2,1,0,"MTNWEST",NA,NA,NA
"WAKE","WCU",32,2,1,0,"ACC",NA,NA,NA
"RUTG","M-OH",28,2,1,1,"BIG10","MAC",NA,NA
"ARK","ARST",42,2,1,1,"SEC","SUNBELT",NA,NA
"NEV","SAC",3,2,1,0,"MTNWEST",NA,NA,NA
"USM","JKST",18,2,1,0,"SUNBELT",NA,NA,NA
"MASS","BRY",-1,2,1,0,"ind",NA,NA,NA
"CAL","TXSO",32,2,1,0,"ACC",NA,NA,NA
"MRSH","MOST",-1,2,1,1,"SUNBELT","cUSA",NA,NA
"ODU","NCCU",48,2,1,0,"SUNBELT",NA,NA,NA
"ECU","CAM",53,2,1,0,"AMERICAN",NA,NA,NA
"FAU","FAMU",42,2,1,0,"AMERICAN",NA,NA,NA
"CLT","UNC",-17,2,1,1,"AMERICAN","ACC",NA,NA
"KSU","ARMY",-3,2,1,1,"BIG12","AMERICAN",NA,NA
"RICE","HOU",-26,2,1,1,"AMERICAN","BIG12",NA,NA
"UCF","NCAT",61,2,1,0,"BIG12",NA,NA,NA
"TOL","WKU",24,2,1,1,"MAC","cUSA",NA,NA
"CSU","UNCO",4,2,1,0,"MTNWEST",NA,NA,NA
"GAST","MEM",-22,2,1,1,"SUNBELT","AMERICAN",NA,NA
"USA","TULN",-2,2,1,1,"SUNBELT","AMERICAN",NA,NA
"EMU","LIU",-5,2,1,0,"MAC",NA,NA,NA
"AUB","BALL",39,2,1,1,"SEC","MAC",NA,NA
"VT","VAN",-24,2,1,1,"ACC","SEC",NA,NA
"NEB","AKR",68,2,1,1,"BIG10","MAC",NA,NA
"USC","GASO",39,2,1,1,"BIG10","SUNBELT",NA,NA
"MSU","BC",2,2,1,1,"BIG10","ACC",NA,NA
"PUR","SIU",17,2,1,0,"BIG10",NA,NA,NA
"CCU","CHSO",13,2,1,0,"SUNBELT",NA,NA,NA
"UNLV","UCLA",7,2,1,1,"MTNWEST","BIG10",NA,NA
"UL","MCN",24,2,1,0,"SUNBELT",NA,NA,NA
"NMSU","TLSA",7,2,1,1,"cUSA","AMERICAN",NA,NA
"UTEP","UTM",25,2,1,0,"cUSA",NA,NA,NA
"ARIZ","WEB",45,2,1,0,"BIG12",NA,NA,NA
"WSU","SDSU",23,2,1,1,"PAC12","MTNWEST",NA,NA
"BYU","STAN",24,2,1,1,"BIG12","ACC",NA,NA
"WASH","UCD",60,2,1,0,"BIG10",NA,NA,NA
"HAW","SHSU",17,2,1,1,"MTNWEST","cUSA",NA,NA
"WAKE","NCSU",-10,3,1,1,"ACC","ACC",NA,NA
"IU","INST",73,3,1,0,"BIG10",NA,22,NA
"SYR","COLG",42,3,1,0,"ACC",NA,NA,NA
"HOU","COLO",16,3,1,1,"BIG12","BIG12",NA,NA
"ARIZ","KSU",6,3,1,1,"BIG12","BIG12",NA,NA
"UCLA","UNM",-25,3,1,1,"BIG10","MTNWEST",NA,NA
"OSU","OHIO",28,3,1,1,"BIG10","MAC",1,NA
"PSU","VILL",46,3,1,0,"BIG10",NA,2,NA
"LSU","FLA",10,3,1,1,"SEC","SEC",3,NA
"NU","ORE",-20,3,1,1,"BIG10","BIG10",NA,4
"MIA","USF",37,3,1,1,"ACC","AMERICAN",5,18
"TENN","UGA",-3,3,1,1,"SEC","SEC",15,6
"TEX","UTEP",17,3,1,1,"SEC","cUSA",7,NA
"ND","TA&M",-1,3,1,1,"ind","SEC",8,16
"ILL","WMU",38,3,1,1,"BIG10","MAC",9,NA
"SC","VAN",-24,3,1,1,"SEC","SEC",11,NA
"GT","CLEM",3,3,1,1,"ACC","ACC",NA,12
"TEM","OU",-39,3,1,1,"AMERICAN","SEC",NA,13
"ARST","ISU",-8,3,1,1,"SUNBELT","BIG12",NA,14
"MISS","ARK",6,3,1,1,"SEC","SEC",17,NA
"ALA","WIS",24,3,1,1,"SEC","BIG10",19,NA
"WYO","UTAH",-25,3,1,1,"MTNWEST","BIG12",NA,20
"TTU","ORST",31,3,1,1,"BIG12","PAC12",21,NA
"MICH","CMU",60,3,1,1,"BIG10","MAC",23,NA
"AUB","USA",16,3,1,1,"SEC","SUNBELT",24,NA
"MIZ","UL",42,3,1,1,"SEC","SUNBELT",25,NA
"NEB","HCU",52,3,1,0,"BIG10",NA,NA,NA
"MD","TOW",27,3,1,0,"BIG10",NA,NA,NA
"UVA","W&M",39,3,1,0,"ACC",NA,NA,NA
"BAY","SAM",35,3,1,0,"BIG12",NA,NA,NA
"TROY","MEM",-21,3,1,1,"SUNBELT","AMERICAN",NA,NA
"KENT","BUFF",-3,3,1,1,"MAC","MAC",NA,NA
"BALL","UNH",5,3,1,0,"MAC",NA,NA,NA
"DEL","CONN",3,3,1,1,"cUSA","ind",NA,NA
"RUTG","NORF",50,3,1,0,"BIG10",NA,NA,NA
"MSU","YSU",17,3,1,0,"BIG10",NA,NA,NA
"UNT","WSU",49,3,1,1,"AMERICAN","PAC12",NA,NA
"MOST","SMU",-18,3,1,1,"cUSA","ACC",NA,NA
"WVU","PITT",7,3,1,1,"BIG12","ACC",NA,NA
"UNC","RICH",35,3,1,0,"ACC",NA,NA,NA
"CIN","NWST",70,3,1,0,"BIG12",NA,NA,NA
"UTSA","UIW",28,3,1,0,"AMERICAN",NA,NA,NA
"TOL","MORG",60,3,1,0,"MAC",NA,NA,NA
"BGSU","LIB",10,3,1,1,"MAC","cUSA",NA,NA
"NEV","MTSU",-1,3,1,1,"MTNWEST","cUSA",NA,NA
"MSST","ALCN",63,3,1,0,"SEC",NA,NA,NA
"KENN","MRMK",14,3,1,0,"cUSA",NA,NA,NA
"MRSH","EKU",31,3,1,0,"SUNBELT",NA,NA,NA
"CLT","MONM",7,3,1,0,"AMERICAN",NA,NA,NA
"PUR","USC",-16,3,1,1,"BIG10","BIG10",NA,NA
"VT","ODU",-19,3,1,1,"ACC","SUNBELT",NA,NA
"GASO","JVST",7,3,1,1,"SUNBELT","cUSA",NA,NA
"GAST","MUR",16,3,1,0,"SUNBELT",NA,NA,NA
"USM","APP",16,3,1,0,"SUNBELT",NA,NA,NA
"RICE","PV",21,3,1,0,"AMERICAN",NA,NA,NA
"UK","EMU",25,3,1,1,"SEC","MAC",NA,NA
"IOWA","MASS",40,3,1,1,"BIG10","ind",NA,NA
"LT","NMSU",35,3,1,1,"cUSA","cUSA",NA,NA
"CCU","ECU",-38,3,1,1,"SUNBELT","AMERICAN",NA,NA
"TULN","DUKE",7,3,1,1,"AMERICAN","ACC",NA,NA
"TCU","ACU",21,3,1,0,"BIG12",NA,NA,NA
"TLSA","NAVY",-19,3,1,1,"AMERICAN","AMERICAN",NA,NA
"FIU","FAU",10,3,1,1,"cUSA","AMERICAN",NA,NA
"UAB","AKR",3,3,1,1,"AMERICAN","MAC",NA,NA
"USU","AFA",19,3,1,1,"MTNWEST","MTNWEST",NA,NA
"FRES","SOU",49,3,1,0,"MTNWEST",NA,NA,NA
"CAL","MINN",13,3,1,1,"ACC","BIG10",NA,NA
"STAN","BC",10,3,1,1,"ACC","ACC",NA,NA
"ASU","TXST",19,3,1,1,"BIG12","SUNBELT",NA,NA
"HAW","PRST",20,3,1,0,"MTNWEST",NA,NA,NA
"CLT","RICE",-11,4,1,1,"AMERICAN","AMERICAN",NA,NA
"OKST","TLSA",-7,4,1,1,"BIG12","AMERICAN",NA,NA
"RUTG","IOWA",-10,4,1,1,"BIG10","BIG10",NA,NA
"LSU","SELA",46,4,1,0,"SEC",NA,3,NA
"MIA","FLA",19,4,1,1,"ACC","SEC",4,NA
"ORE","ORST",34,4,1,1,"BIG10","PAC12",6,NA
"FSU","KENT",56,4,1,1,"ACC","MAC",7,NA
"TEX","SHSU",55,4,1,1,"SEC","cUSA",8,NA
"IU","ILL",53,4,1,1,"BIG10","BIG10",19,9
"OU","AUB",7,4,1,1,"SEC","SEC",11,22
"MISS","TULN",35,4,1,1,"SEC","AMERICAN",13,NA
"TENN","UAB",32,4,1,1,"SEC","AMERICAN",15,NA
"UTAH","TTU",-24,4,1,1,"BIG12","BIG12",16,17
"GT","TEM",21,4,1,1,"ACC","AMERICAN",18,NA
"VAN","GAST",49,4,1,1,"SEC","SUNBELT",20,NA
"NEB","MICH",-3,4,1,1,"BIG10","BIG10",NA,21
"MIZ","SC",9,4,1,1,"SEC","SEC",23,NA
"ND","PUR",26,4,1,1,"ind","BIG10",24,NA
"USC","MSU",14,4,1,1,"BIG10","BIG10",25,NA
"MEM","ARK",1,4,1,1,"AMERICAN","SEC",NA,NA
"WIS","MD",-17,4,1,1,"BIG10","BIG10",NA,NA
"CLEM","SYR",-13,4,1,1,"ACC","ACC",NA,NA
"VT","WOF",32,4,1,0,"ACC",NA,NA,NA
"TCU","SMU",11,4,1,1,"BIG12","ACC",NA,NA
"LOU","BGSU",23,4,1,1,"ACC","MAC",NA,NA
"M-OH","UNLV",-3,4,1,1,"MAC","MTNWEST",NA,NA
"ARMY","UNT",-7,4,1,1,"AMERICAN","AMERICAN",NA,NA
"USF","SCST",49,4,1,0,"AMERICAN",NA,NA,NA
"CMU","WAG",39,4,1,0,"MAC",NA,NA,NA
"UCF","UNC",25,4,1,1,"BIG12","ACC",NA,NA
"CONN","BALL",6,4,1,1,"ind","MAC",NA,NA
"LIB","JMU",-18,4,1,1,"cUSA","SUNBELT",NA,NA
"EMU","UL",3,4,1,1,"MAC","SUNBELT",NA,NA
"BUFF","TROY",-4,4,1,1,"MAC","SUNBELT",NA,NA
"WMU","TOL",1,4,1,1,"MAC","MAC",NA,NA
"OHIO","GWEB",17,4,1,0,"MAC",NA,NA,NA
"DUKE","NCSU",12,4,1,1,"ACC","ACC",NA,NA
"MSST","NIU",28,4,1,1,"SEC","MAC",NA,NA
"SJSU","IDHO",3,4,1,0,"MTNWEST",NA,NA,NA
"KU","WVU",31,4,1,1,"BIG12","BIG12",NA,NA
"FIU","DEL",-22,4,1,1,"cUSA","cUSA",NA,NA
"KENN","ARST",7,4,1,1,"cUSA","SUNBELT",NA,NA
"AKR","DUQ",44,4,1,0,"MAC",NA,NA,NA
"JVST","MUR",35,4,1,0,"cUSA",NA,NA,NA
"MTSU","MRSH",-14,4,1,1,"cUSA","SUNBELT",NA,NA
"MOST","UTM",32,4,1,0,"cUSA",NA,NA,NA
"WKU","NEV",15,4,1,1,"cUSA","MTNWEST",NA,NA
"AFA","BOIS",-12,4,1,1,"MTNWEST","MTNWEST",NA,NA
"GASO","ME",28,4,1,0,"SUNBELT",NA,NA,NA
"USA","CCU",-18,4,1,1,"SUNBELT","SUNBELT",NA,NA
"WSU","WASH",-35,4,1,1,"PAC12","BIG10",NA,NA
"UVA","STAN",28,4,1,1,"ACC","ACC",NA,NA
"BAY","ASU",-3,4,1,1,"BIG12","BIG12",NA,NA
"ECU","BYU",-21,4,1,1,"AMERICAN","BIG12",NA,NA
"LT","USM",10,4,1,1,"cUSA","SUNBELT",NA,NA
"USU","MCN",41,4,1,0,"MTNWEST",NA,NA,NA
"TXST","NICH",32,4,1,0,"SUNBELT",NA,NA,NA
"UTEP","ULM",-6,4,1,1,"cUSA","SUNBELT",NA,NA
"CSU","UTSA",-1,4,1,1,"MTNWEST","AMERICAN",NA,NA
"COLO","WYO",17,4,1,1,"BIG12","MTNWEST",NA,NA
"SDSU","CAL",34,4,1,1,"MTNWEST","ACC",NA,NA
"HAW","FRES",-2,4,1,1,"MTNWEST","MTNWEST",NA,NA
"ECU","ARMY",22,5,1,1,"AMERICAN","AMERICAN",NA,NA
"UVA","FSU",8,5,1,1,"ACC","ACC",NA,8
"ASU","TCU",3,5,1,1,"BIG12","BIG12",NA,24
"ORST","HOU",-3,5,1,1,"PAC12","BIG12",NA,NA
"WASH","OSU",-18,5,1,1,"BIG10","BIG10",NA,1
"PSU","ORE",-6,5,1,1,"BIG10","BIG10",3,6
"MISS","LSU",5,5,1,1,"SEC","SEC",13,4
"UGA","ALA",-3,5,1,1,"SEC","SEC",5,17
"TA&M","AUB",6,5,1,1,"SEC","SEC",9,NA
"IOWA","IU",-5,5,1,1,"BIG10","BIG10",NA,11
"ISU","ARIZ",25,5,1,1,"BIG12","BIG12",14,NA
"MSST","TENN",-7,5,1,1,"SEC","SEC",NA,15
"WAKE","GT",-1,5,1,1,"ACC","ACC",NA,16
"VAN","USU",20,5,1,1,"SEC","MTNWEST",18,NA
"MIZ","MASS",36,5,1,1,"SEC","ind",20,NA
"ILL","USC",2,5,1,1,"BIG10","BIG10",23,21
"ARK","ND",-43,5,1,1,"SEC","ind",NA,22
"COLO","BYU",-3,5,1,1,"BIG12","BIG12",NA,25
"MINN","RUTG",3,5,1,1,"BIG10","BIG10",NA,NA
"SYR","DUKE",-35,5,1,1,"ACC","ACC",NA,NA
"PITT","LOU",-7,5,1,1,"ACC","ACC",NA,NA
"KU","CIN",-3,5,1,1,"BIG12","BIG12",NA,NA
"KSU","UCF",14,5,1,1,"BIG12","BIG12",NA,NA
"UNT","USA",14,5,1,1,"AMERICAN","SUNBELT",NA,NA
"OHIO","BGSU",15,5,1,1,"MAC","MAC",NA,NA
"CMU","EMU",11,5,1,1,"MAC","MAC",NA,NA
"JMU","GASO",25,5,1,1,"SUNBELT","SUNBELT",NA,NA
"ULM","ARST",12,5,1,1,"SUNBELT","SUNBELT",NA,NA
"NU","UCLA",3,5,1,1,"BIG10","BIG10",NA,NA
"BC","CAL",-4,5,1,1,"ACC","ACC",NA,NA
"OKST","BAY",-18,5,1,1,"BIG12","BIG12",NA,NA
"WVU","UTAH",-34,5,1,1,"BIG12","BIG12",NA,NA
"BUFF","CONN",-3,5,1,1,"MAC","ind",NA,NA
"NIU","SDSU",-3,5,1,1,"MAC","MTNWEST",NA,NA
"NAVY","RICE",8,5,1,1,"AMERICAN","AMERICAN",NA,NA
"TOL","AKR",42,5,1,1,"MAC","MAC",NA,NA
"M-OH","LIN",38,5,1,0,"MAC",NA,NA,NA
